time_s,total_packets,bytes_in_flight_avg,bytes_in_flight_max,throughput_bps,sack_count,window_size,retransmissions,dupacks,ooo_packets,zero_window_probes,mss_avg,data_bytes,goodput_bps,retrans_rate_pct,ooo_rate_pct,avg_window
154,14,25.285714285714285,25.285714285714285,34.116129032258065,0,0,0,0,0,14,1460,661,34.116129032258065,0.0,0.0,0.0
158,2,0.0,0.0,0.8553459119496856,1,0,0,0,0,2,1460,17,0.8553459119496856,0.0,0.0,0.0
159,23,1595.9130434782608,1595.9130434782608,522.15,0,0,1,0,0,23,1460,10443,522.15,4.3478260869565215,0.0,0.0
163,1,0.0,0.0,0.5853658536585366,0,0,0,0,0,1,1460,12,0.5853658536585366,0.0,0.0,0.0
164,1,0.0,0.0,0.5818181818181818,0,0,1,0,0,1,1460,12,0.5818181818181818,100.0,0.0,0.0
166,1,0.0,0.0,0.5748502994011976,0,0,1,0,0,1,1460,12,0.5748502994011976,100.0,0.0,0.0
169,3,158.0,158.0,2.7294117647058824,0,0,0,0,0,3,1460,58,2.7294117647058824,0.0,0.0,0.0
170,1,0.0,0.0,0.5614035087719298,0,0,1,0,0,1,1460,12,0.5614035087719298,100.0,0.0,0.0
178,1,0.0,0.0,0.5363128491620112,0,0,1,0,0,1,1460,12,0.5363128491620112,100.0,0.0,0.0
182,2,117.5,117.5,6.644808743169399,0,0,0,0,0,2,1460,152,6.644808743169399,0.0,0.0,0.0
186,5,0.0,0.0,21.13368983957219,0,0,0,0,0,5,1460,494,21.13368983957219,0.0,0.0,0.0
187,22,1410.2272727272727,1410.2272727272727,566.7659574468086,1,0,1,0,0,22,1460,13319,566.7659574468086,4.545454545454546,0.0,0.0
188,39,2388.0,2388.0,1239.4920634920634,0,0,0,0,0,39,1460,29283,1239.4920634920634,0.0,0.0,0.0
190,3,256.6666666666667,256.6666666666667,2.4293193717277486,0,0,0,0,0,3,1460,58,2.4293193717277486,0.0,0.0,0.0
192,23,2862.3478260869565,2862.3478260869565,519.419689119171,0,0,0,0,0,23,1460,12531,519.419689119171,0.0,0.0,0.0
193,4,3750.75,3750.75,14.350515463917526,0,0,0,0,0,4,1460,348,14.350515463917526,0.0,0.0,0.0
195,4,146.5,146.5,7.142857142857143,0,0,0,0,0,4,1460,175,7.142857142857143,0.0,0.0,0.0
202,1,0.0,0.0,5.9507389162561575,0,0,1,0,0,1,1460,151,5.9507389162561575,100.0,0.0,0.0
204,2,3196.5,3196.5,0.6634146341463415,1,0,0,0,0,2,1460,17,0.6634146341463415,0.0,0.0,0.0
209,32,1022.28125,1022.28125,383.3904761904762,0,0,0,0,0,32,1460,10064,383.3904761904762,0.0,0.0,0.0
210,241,16049.228215767635,16049.228215767635,5657.402843601896,1,0,3,1,5,241,1460,149214,5657.402843601896,1.2448132780082988,2.0746887966804977,0.0
211,116,2076.25,2076.25,1582.0,0,0,0,0,0,116,1460,41923,1582.0,0.0,0.0,0.0
212,68,460.36764705882354,460.36764705882354,833.6150234741784,0,0,0,0,0,68,1460,22195,833.6150234741784,0.0,0.0,0.0
